New run! (theta, phi) = 
288	1.66277	HGCalEEMotherBoard10Coarse2	HGC_G10-FR4
289	0.0779423	HGCalEEEpoxy10Coarse2	Epoxy
290	0.311769	HGCalEECellSensitiveFull0Coarse2	Silicon
291	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
292	0.275396	HGCalEEKapton10Coarse2	Kapton
293	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
294	1.45492	HGCalEEBasePlate10Coarse2	WCu
295	6.28734	HGCalEECoolingPlate10	Copper
296	1.45492	HGCalEEBasePlate00Coarse2	WCu
297	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
298	0.275396	HGCalEEKapton00Coarse2	Kapton
299	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
300	0.311769	HGCalEECellSensitiveFull1Coarse2	Silicon
301	0.0779423	HGCalEEEpoxy00Coarse2	Epoxy
302	1.66277	HGCalEEMotherBoard00Coarse2	HGC_G10-FR4
303	3.87633	HGCalEEConnector00Coarse2	HGC_EEConnector
304	1.66277	HGCalEEPCB00Coarse2	HGC_G10-FR4
305	0.233827	HGCalEEAirGap00Coarse2	Air
306	0.103923	HGCalEEAbsorberCopper21	Copper
307	0.311769	HGCalEEAbsorberStainlessSteel21	StainlessSteel
308	0.0519615	HGCalEEAbsorberEpoxy21	Epoxy
309	8.54247	HGCalEEAbsorberLead32	Lead
310	0.0519615	HGCalEEAbsorberEpoxy22	Epoxy
311	0.311769	HGCalEEAbsorberStainlessSteel22	StainlessSteel
312	0.103923	HGCalEEAbsorberCopper22	Copper
313	0.233827	HGCalEEAirGap10Coarse2	Air
314	1.66277	HGCalEEPCB10Coarse2	HGC_G10-FR4
315	3.87633	HGCalEEConnector10Coarse2	HGC_EEConnector
316	1.66277	HGCalEEMotherBoard10Coarse2	HGC_G10-FR4
317	0.0779423	HGCalEEEpoxy10Coarse2	Epoxy
318	0.311769	HGCalEECellSensitiveFull0Coarse2	Silicon
319	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
320	0.275396	HGCalEEKapton10Coarse2	Kapton
321	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
322	1.45492	HGCalEEBasePlate10Coarse2	WCu
323	6.28734	HGCalEECoolingPlate11	Copper
324	1.45492	HGCalEEBasePlate00Coarse2	WCu
325	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
326	0.275396	HGCalEEKapton00Coarse2	Kapton
327	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
328	0.311769	HGCalEECellSensitiveFull1Coarse2	Silicon
329	0.0779423	HGCalEEEpoxy00Coarse2	Epoxy
330	1.66277	HGCalEEMotherBoard00Coarse2	HGC_G10-FR4
